﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿"﻿﻿﻿﻿﻿﻿""﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿Version""",
0,
"Double byte support",
0,
"Double byte font",
"�l�r �o�S�V�b�N",
"Not enough coins, please purchase more!", "Not enough coins, please purchase more!"
"TANK LVL-1", "TANK LVL-1"
"TANK LVL-2", "TANK LVL-2"
"APC LVL-1", "APC LVL-1"
"APC LVL-2", "APC LVL-2"
"APC LVL-3", "APC LVL-3"
"HELICOPTER LVL-1", "HELICOPTER LVL-1"
"HELICOPTER LVL-2", "HELICOPTER LVL-2"
"HELICOPTER LVL-3", "HELICOPTER LVL-3"
"PERSON", "PERSON"
"Outfit", "Outfit"
"Primary", "Primary"
"Secondary", "Secondary"
"Items", "Items"
"Head", "Head"
"Camo", "Camo"
"Flag", "Flag"
"Emblem", "Emblem"
"OPEN", "OPEN"
"PURCHASE", "PURCHASE"
"CLIENT IS OLD, PLEASE CLEAR YOUR BROWSER CACHE...", "CLIENT IS OLD, PLEASE CLEAR YOUR BROWSER CACHE..."
"ALL GAME SERVERS FULL, PLEASE REFRESH...", "ALL GAME SERVERS FULL, PLEASE REFRESH..."
"SELECT SERVER", "SELECT SERVER"
"Connect", "Connect"
"Refresh", "Refresh"
"Localhost", "Localhost"
"CONNECTING...", "CONNECTING..."
"PLAY GAME!", "PLAY GAME!"
"QUIT GAME", "QUIT GAME"
"Mouse", "Mouse"
"Volume", "Volume"
"Shadows", "Shadows"
"Mute Audio", "Mute Audio"
"Antialiasing", "Antialiasing"
"Tone Mapping", "Tone Mapping"
"Ambient Occlusion", "Ambient Occlusion"
"Reflections", "Reflections"
"PLAYER CUSTOMIZATION", "PLAYER CUSTOMIZATION"
"MISSIONS", "MISSIONS"
"SKIP MISSION", "SKIP MISSION"
"Reward", "Reward"
"SKIP MISSION?", "SKIP MISSION?"
"Yes", "Yes"
"No", "No"
"CRATES", "CRATES"
"POPULAR", "POPULAR"
"BEST VALUE", "BEST VALUE"
"Redeem Crate Code...", "Redeem Crate Code..."
"Log In", "Log In"
"To earn crates, complete missions, keep track of your XP, and to purchase coins in War Brokers, please sign in using Google, Facebook, VK, Twitch, or a Steam account.", "To earn crates, complete missions, keep track of your XP, and to purchase coins in War Brokers, please sign in using Google, Facebook, VK, Twitch, or a Steam account."
"Use MOUSE1 to control speed", "Use MOUSE1 to control speed"
"N", "N"
"S", "S"
"E", "E"
"W", "W"
"M - Menu", "M - Menu"
"Press F to Enter Vehicle", "Press F to Enter Vehicle"
"MISSILE LOCKED!!!", "MISSILE LOCKED!!!"
"Press F to Pickup Package", "Press F to Pickup Package"
"Switching Team to Balance Server", "Switching Team to Balance Server"
"Hold F to Launch Missile", "Hold F to Launch Missile"
"Toggle Fullscreen", "Toggle Fullscreen"
"Press Y for team chat...", "Press Y for team chat..."
"Leaderboard", "Leaderboard"
"LVL", "LVL"
"XP", "XP"
"Ping", "Ping"
"Our Team :", "Our Team :"
" : Enemy Team", " : Enemy Team"
"Team Death Match Starts In", "Team Death Match Starts In"
"Death Match Starts In", "Death Match Starts In"
"Capture Point Starts In", "Capture Point Starts In"
"Capture Flags Starts In", "Capture Flags Starts In"
"Package Drop Starts In", "Package Drop Starts In"
"Missile Launch Starts In", "Missile Launch Starts In"
"Launch missiles!", "Launch missiles!"
"Stop missile launch!", "Stop missile launch!"
"AR Rifle", "AR Rifle"
"AK Rifle", "AK Rifle"
"Pistol", "Pistol"
"Hunting Rifle", "Hunting Rifle"
"RPG", "RPG"
"Shotgun", "Shotgun"
"Sniper Rifle", "Sniper Rifle"
"Sub Machine Gun", "Sub Machine Gun"
"Homing Missile", "Homing Missile"
"Package", "Package"
"Grenade", "Grenade"
"BGM", "BGM"
"Air Strike", "Air Strike"
"Unknown", "Unknown"
"Team Loss!!!", "Team Loss!!!"
"Team Wins!!!", "Team Wins!!!"
"Tie Game!!!", "Tie Game!!!"
"Final Results", "Final Results"
"Kills", "Kills"
"Deaths", "Deaths"
"Damage", "Damage"
"Longest Kill", "Longest Kill"
"Points", "Points"
"Headshots", "Headshots"
"Kills -", "Kills -"
"Deaths -", "Deaths -"
"Damage -", "Damage -"
"Longest -", "Longest -"
"Points -", "Points -"
"Head Shots -", "Head Shots -"
" kills", " kills"
"Sign in to keep track of mission progress", "Sign in to keep track of mission progress"
"LEVEL", "LEVEL"
"Earned", "Earned"
" coins!", " coins!"
"Team will switch in 5 seconds", "Team will switch in 5 seconds"
"Mission", "Mission"
" Complete", " Complete"
" XP", " XP"
" Coins", " Coins"
"Earned a Crate!", "Earned a Crate!"
"Kill", "Kill"
"Cause", "Cause"
" damage", " damage"
"Deliver", "Deliver"
" packages", " packages"
" package", " package"
"Launch", "Launch"
" missiles", " missiles"
" missile", " missile"
"Capture", "Capture"
" points", " points"
" point", " point"
"Play", "Play"
" matches", " matches"
" match", " match"
"Travel", "Travel"
" meters", " meters"
"Assist", "Assist"
" players", " players"
" player", " player"
"Finish 1 match with", "Finish 1 match with"
" kill", " kill"
" as a", " as a"
" with a", " with a"
" without dying", " without dying"
" within", " within"
" seconds", " seconds"
" dying less than", " dying less than"
" times", " times"
" time", " time"
" with health less than", " with health less than"
" in less than", " in less than"
" at a distance greater than", " at a distance greater than"
" at a distance less than", " at a distance less than"
"Coins", "Coins"
"Crate", "Crate"
"any weapon", "any weapon"
"tanks", "tanks"
"tank", "tank"
"APCs", "APCs"
"APC", "APC"
"helicopters", "helicopters"
"helicopter", "helicopter"
"Tank Lvl-1", "Tank Lvl-1"
"Tank Lvl-2", "Tank Lvl-2"
"Tank Lvl-3", "Tank Lvl-3"
"APC Lvl-1", "APC Lvl-1"
"APC Lvl-2", "APC Lvl-2"
"APC Lvl-3", "APC Lvl-3"
"Helicopter Lvl-1", "Helicopter Lvl-1"
"Helicopter Lvl-2", "Helicopter Lvl-2"
"Helicopter Lvl-3", "Helicopter Lvl-3"
"people", "people"
"person", "person"
"TANK LVL-3", "TANK LVL-3"
"QUIT GAME?", "QUIT GAME?"
"DAILY REWARDS", "DAILY REWARDS"
"Missiles Launched", "Missiles Launched"
" until next reward", " until next reward"
"killed by", "killed by"
"fragged by", "fragged by"
"blown up by", "blown up by"
"destroyed by", "destroyed by"
"smashed by", "smashed by"
"with", "with"
"self destructed", "self destructed"
"Invert Heli Y", "Invert Heli Y"
"Press C to Change View", "Press C to Change View"
"LAUNCH MISSILES", "LAUNCH MISSILES"
"FIND GREEN CIRCLES ON MAP", "FIND GREEN CIRCLES ON MAP"
"HOLD F TO RAISE", "HOLD F TO RAISE"
"YELLOW = BEING RAISED", "YELLOW = BEING RAISED"
"RED = LAUNCHED", "RED = LAUNCHED"
"GREEN = LAUNCHER", "GREEN = LAUNCHER"
"STOP MISSILE LAUNCH", "STOP MISSILE LAUNCH"
"FIND YELLOW CIRCLES ON MAP", "FIND YELLOW CIRCLES ON MAP"
"STOP PEOPLE LAUNCHING MISSILE", "STOP PEOPLE LAUNCHING MISSILE"
"Invert Y Axis", "Invert Y Axis"
"Color Blind", "Color Blind"
"Press F to Drop Package", "Press F to Drop Package"
"FIND THE PACKAGE [WHITE STAR ON MAP]", "FIND THE PACKAGE [WHITE STAR ON MAP]"
"PICK IT UP", "PICK IT UP"
"DROP OFF AT GREEN CIRCLE", "DROP OFF AT GREEN CIRCLE"
"Deliver package to green circle on minimap", "Deliver package to green circle on minimap"
"Get the package, white star on minimap", "Get the package, white star on minimap"
"Defend the package carrier", "Defend the package carrier"
"Stop the package carrier, flashing star on minimap", "Stop the package carrier, flashing star on minimap"
"Hop in, I'll give you a ride", "Hop in, I'll give you a ride"
"I need a ride", "I need a ride"
"Launch Missile #1", "Launch Missile #1"
"Launch Missile #2", "Launch Missile #2"
"Launch Missile #3", "Launch Missile #3"
"Defend Missile #1", "Defend Missile #1"
"Defend Missile #2", "Defend Missile #2"
"Defend Missile #3", "Defend Missile #3"
"Defend the package carrier (flashing green/white star on the map)", "Defend the package carrier (flashing green/white star on the map)"
"Package carrier deliver the package to the drop off point (green circle on map)", "Package carrier deliver the package to the drop off point (green circle on map)"
"Drop the package I'll carry it", "Drop the package I'll carry it"
"Pickup the package (white star on the mini-map)", "Pickup the package (white star on the mini-map)"
"Kill the enemy carrying the package (flashing red/yellow star on the mini-map)", "Kill the enemy carrying the package (flashing red/yellow star on the mini-map)"
