﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿"﻿""﻿﻿﻿﻿﻿﻿""""﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿Version""""""",
0,
"Double byte support",
0,
"Double byte font",
"�l�r �o�S�V�b�N",
"Not enough coins, please purchase more!", "Non abbastanza monete, si prega di acquistare di più!"
"TANK LVL-1", "SERBATOIO LVL-1"
"TANK LVL-2", "SERBATOIO LVL-2"
"APC LVL-1", "APC LVL-1"
"APC LVL-2", "APC LVL-2"
"APC LVL-3", "APC LVL-3"
"HELICOPTER LVL-1", "HELICOPTER LVL-1"
"HELICOPTER LVL-2", "HELICOPTER LVL-2"
"HELICOPTER LVL-3", "HELICOPTER LVL-3"
"PERSON", "PERSONA"
"Outfit", "attrezzatura"
"Primary", "Primario"
"Secondary", "Secondario"
"Items", "Elementi"
"Head", "Capo"
"Camo", "Camo"
"Flag", "Bandiera"
"Emblem", "Emblema"
"OPEN", "APERTO"
"PURCHASE", "ACQUISTA"
"CLIENT IS OLD, PLEASE CLEAR YOUR BROWSER CACHE...", "IL CLIENTE È VECCHIO, PULIZIA IL TUO BROWSER CACHE ..."
"ALL GAME SERVERS FULL, PLEASE REFRESH...", "TUTTI I SERVIZI DI GIOCO PIENO, SI PREGA DI RAFFRESH ..."
"SELECT SERVER", "SELEZIONA IL SERVER"
"Connect", "Collegare"
"Refresh", "ricaricare"
"Localhost", "localhost"
"CONNECTING...", "COLLEGAMENTO ..."
"PLAY GAME!", "GIOCA!"
"QUIT GAME", "ABBANDONARE IL GIOCO"
"Mouse", "Topo"
"Volume", "Volume"
"Shadows", "Shadows"
"Mute Audio", "Disattiva l'audio"
"Antialiasing", "Anti aliasing"
"Tone Mapping", "Mappatura dei toni"
"Ambient Occlusion", "Occlusione ambientale"
"Reflections", "Riflessi"
"PLAYER CUSTOMIZATION", "PERSONALIZZAZIONE DEL PLAYER"
"MISSIONS", "MISSIONI"
"SKIP MISSION", "MISSIONE DI SKIP"
"Reward", "Ricompensa"
"SKIP MISSION?", "MISSIONE SKIP?"
"Yes", "Sì"
"No", "No"
"CRATES", "CASSE"
"POPULAR", "POPOLARE"
"BEST VALUE", "MIGLIOR VALORE"
"Redeem Crate Code...", "Riscattare il codice del crate ..."
"Log In", "Accesso"
"To earn crates, complete missions, keep track of your XP, and to purchase coins in War Brokers, please sign in using Google, Facebook, VK, Twitch, or a Steam account.", "Per guadagnare casse, missioni complete, tenere traccia del tuo XP e acquistare monete in War Brokers, ti invitiamo a firmare utilizzando Google, Facebook, VK, Twitch o un account Steam."
"Use MOUSE1 to control speed", "Usa MOUSE1 per controllare la velocità"
"N", "N"
"S", "S"
"E", "E"
"W", "W"
"M - Menu", "M - Menu"
"Press F to Enter Vehicle", "Premere F per entrare nel veicolo"
"MISSILE LOCKED!!!", "MISSILE BLOCCATO !!!"
"Press F to Pickup Package", "Premere F per il pacchetto pickup"
"Switching Team to Balance Server", "Squadra di commutazione a Balance Server"
"Hold F to Launch Missile", "Tenere F per lanciare il missile"
"Toggle Fullscreen", "Passare a schermo intero"
"Press Y for team chat...", "Premere Y per la chat di gruppo ..."
"Leaderboard", "Classifica"
"LVL", "LVL"
"XP", "XP"
"Ping", "ping"
"Our Team :", "La nostra squadra :"
" : Enemy Team", " : Squadra di nemici"
"Team Death Match Starts In", "Inizia la partita della Morte della squadra"
"Death Match Starts In", "La partita di morte inizia"
"Capture Point Starts In", "Il punto di acquisizione inizia"
"Capture Flags Starts In", "Le bandierine di cattura iniziano"
"Package Drop Starts In", "La pausa del pacchetto inizia"
"Missile Launch Starts In", "Avvia il lancio dei missili"
"Launch missiles!", "Lanciare missili!"
"Stop missile launch!", "Smetta di lanciare missili!"
"AR Rifle", "AR Fucile"
"AK Rifle", "Fucile AK"
"Pistol", "Pistola"
"Hunting Rifle", "Fucile da caccia"
"RPG", "RPG"
"Shotgun", "fucile da caccia"
"Sniper Rifle", "Fucile di precisione"
"Sub Machine Gun", "Sub pistola della macchina"
"Homing Missile", "Missile Homing"
"Package", "Pacchetto"
"Grenade", "Bomba a mano"
"BGM", "BGM"
"Air Strike", "Air Strike"
"Unknown", "Sconosciuto"
"Team Loss!!!", "Perdita di squadra !!!"
"Team Wins!!!", "La squadra vince !!!"
"Tie Game!!!", "Tie Game !!!"
"Final Results", "Risultati finali"
"Kills", "Kills"
"Deaths", "morti"
"Damage", "Danno"
"Longest Kill", "La più lunga uccisione"
"Points", "Punti"
"Headshots", "headshots"
"Kills -", "Uccisioni -"
"Deaths -", "Morti -"
"Damage -", "Danno -"
"Longest -", "Più lungo -"
"Points -", "Punti -"
"Head Shots -", "Colpi di testa -"
" kills", " uccide"
"Sign in to keep track of mission progress", "Accedi per tenere traccia del progresso della missione"
"LEVEL", "LIVELLO"
"Earned", "Guadagnato"
" coins!", " monete!"
"Team will switch in 5 seconds", "La squadra passerà in 5 secondi"
"Mission", "Missione"
" Complete", " Completare"
" XP", " XP"
" Coins", " Monete"
"Earned a Crate!", "Hai guadagnato una cassa!"
"Kill", "Uccidere"
"Cause", "Causa"
" damage", " danno"
"Deliver", "consegnare"
" packages", " Pacchetti"
" package", " pacchetto"
"Launch", "Lanciare"
" missiles", " missili"
" missile", " missile"
"Capture", "Catturare"
" points", " punti"
" point", " punto"
"Play", "Giocare"
" matches", " fiammiferi"
" match", " incontro"
"Travel", "Viaggio"
" meters", " metri"
"Assist", "assistere"
" players", " Giocatori"
" player", " giocatore"
"Finish 1 match with", "Termina 1 partita con"
" kill", " uccidere"
" as a", " come un"
" with a", " con un"
" without dying", " senza morire"
" within", " entro"
" seconds", " secondi"
" dying less than", " morendo meno di"
" times", " volte"
" time", " tempo"
" with health less than", " con la salute meno di"
" in less than", " in meno di"
" at a distance greater than", " a una distanza maggiore di"
" at a distance less than", " a una distanza minore di"
"Coins", "Monete"
"Crate", "gabbia"
"any weapon", "qualsiasi arma"
"tanks", "carri armati"
"tank", "carro armato"
"APCs", "APC"
"APC", "APC"
"helicopters", "elicotteri"
"helicopter", "elicottero"
"Tank Lvl-1", "Serbatoio Lvl-1"
"Tank Lvl-2", "Serbatoio Lvl-2"
"Tank Lvl-3", "Serbatoio Lvl-3"
"APC Lvl-1", "APC Lvl-1"
"APC Lvl-2", "APC Lvl-2"
"APC Lvl-3", "APC Lvl-3"
"Helicopter Lvl-1", "Elicottero Lvl-1"
"Helicopter Lvl-2", "Elicottero Lvl-2"
"Helicopter Lvl-3", "Elicottero Lvl-3"
"people", "persone"
"person", "persona"
"TANK LVL-3", "TANK LVL-3"
"QUIT GAME?", "ABBANDONARE IL GIOCO?"
"DAILY REWARDS", "GIORNI RAPIDI"
"Missiles Launched", "Lanciati Missili"
" until next reward", "  fino alla ricompensa successiva"
"killed by", "ucciso da"
"fragged by", "frammentato da"
"blown up by", "saltato da"
"destroyed by", "perso da"
"smashed by", "fracassato da"
"with", "con"
"self destructed", "auto distrutto"
"Invert Heli Y", "Invert Heli Y"
"Press C to Change View", "Premi C per cambiare vista"
"LAUNCH MISSILES", "MISSILI DI LANCIO"
"FIND GREEN CIRCLES ON MAP", "TROVA CERCHI VERDI SULLA MAPPA"
"HOLD F TO RAISE", "TENGA F AUMENTARE"
"YELLOW = BEING RAISED", "GIALLO = ESSERE SOLLEVATO"
"RED = LAUNCHED", "ROSSO = LANCIATO"
"GREEN = LAUNCHER", "VERDE = LANCIO"
"STOP MISSILE LAUNCH", "STOP LANCIO MANCILE"
"FIND YELLOW CIRCLES ON MAP", "TROVA I CERCHI GIALLI SULLA MAPPA"
"STOP PEOPLE LAUNCHING MISSILE", "FERMARE LE PERSONE LANCIANDO IL MISSILE"
"Invert Y Axis", "Inverti asse y"
"Color Blind", "Color Blind"
"Press F to Drop Package", "Premi F per rilasciare il pacchetto"
"FIND THE PACKAGE [WHITE STAR ON MAP]", "TROVA IL PACCHETTO [STELLA BIANCA SULLA MAPPA]"
"PICK IT UP", "PRENDILO"
"DROP OFF AT GREEN CIRCLE", "SCENDERE A CERCHIO VERDE"
"Deliver package to green circle on minimap", "Consegna il pacchetto al cerchio verde sulla minimappa"
"Get the package, white star on minimap", "Prendi il pacchetto, stella bianca su minimappa"
"Defend the package carrier", "Difendi il corriere"
"Stop the package carrier, flashing star on minimap", "Arresta il porta-pacchi, stella lampeggiante sulla minimappa"
"Hop in, I'll give you a ride", "Salta, ti darò un passaggio"
