﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿"﻿""﻿﻿""""﻿""""""""﻿﻿﻿﻿﻿﻿﻿﻿﻿""""""""""""""""﻿﻿""""""""""""""""""""""""""""""""﻿""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Version""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",
0,
"Double byte support",
0,
"Double byte font",
"�l�r �o�S�V�b�N",
"Not enough coins, please purchase more!", "Não há moedas suficientes, compre mais!"
"TANK LVL-1", "TANK LVL-1"
"TANK LVL-2", "TANK LVL-2"
"APC LVL-1", "APC LVL-1"
"APC LVL-2", "APC LVL-2"
"APC LVL-3", "APC LVL-3"
"HELICOPTER LVL-1", "HELICÓPTERO LVL-1"
"HELICOPTER LVL-2", "HELICÓPTERO LVL-2"
"HELICOPTER LVL-3", "HELICÓPTERO LVL-3"
"PERSON", "PESSOA"
"Outfit", "Equipamento"
"Primary", "Primária"
"Secondary", "Secundário"
"Items", "Unid"
"Head", "Cabeça"
"Camo", "Camo"
"Flag", "Bandeira"
"Emblem", "Emblema"
"OPEN", "ABERTO"
"PURCHASE", "COMPRA"
"CLIENT IS OLD, PLEASE CLEAR YOUR BROWSER CACHE...", "O CLIENTE É VELHO, POR FAVOR LIMPE SEU BROWSER CACHE ..."
"ALL GAME SERVERS FULL, PLEASE REFRESH...", "TODOS OS SERVIDORES DE JOGO COMPLETOS, POR FAVOR REFRESQUE ..."
"SELECT SERVER", "SELECIONE O SERVIDOR"
"Connect", "Conectar"
"Refresh", "Atualizar"
"Localhost", "Localhost"
"CONNECTING...", "CONECTANDO ..."
"PLAY GAME!", "JOGAR UM JOGO!"
"QUIT GAME", "DESISTIR DO JOGO"
"Mouse", "Rato"
"Volume", "Volume"
"Shadows", "Sombras"
"Mute Audio", "Mute Audio"
"Antialiasing", "Antialiasing"
"Tone Mapping", "Mapeamento de tons"
"Ambient Occlusion", "Oclusão Ambiental"
"Reflections", "Reflexões"
"PLAYER CUSTOMIZATION", "CUSTOMIZAÇÃO DO JOGADOR"
"MISSIONS", "MISSÕES"
"SKIP MISSION", "PULAR A MISSÃO"
"Reward", "Recompensa"
"SKIP MISSION?", "PULAR A MISSÃO?"
"Yes", "sim"
"No", "Não"
"CRATES", "CAIXAS"
"POPULAR", "POPULAR"
"BEST VALUE", "MELHOR VALOR"
"Redeem Crate Code...", "Canjear código de caixa ..."
"Log In", "Entrar"
"To earn crates, complete missions, keep track of your XP, and to purchase coins in War Brokers, please sign in using Google, Facebook, VK, Twitch, or a Steam account.", "Para ganhar caixas, completar missões, acompanhar o seu XP e comprar moedas em War Brokers, faça o login usando o Google, Facebook, VK, Twitch ou uma conta Steam."
"Use MOUSE1 to control speed", "Use o MOUSE1 para controlar a velocidade"
"N", "N"
"S", "S"
"E", "E"
"W", "W"
"M - Menu", "M - Menu"
"Press F to Enter Vehicle", "Pressione F para entrar no veículo"
"MISSILE LOCKED!!!", "MISSILE BLOQUEADO !!!"
"Press F to Pickup Package", "Pressione F para o Pacote de Pickup"
"Switching Team to Balance Server", "Trocando Equipa para Balance Server"
"Hold F to Launch Missile", "Mantenha F para iniciar o míssil"
"Toggle Fullscreen", "Alternar para o modo tela cheia"
"Press Y for team chat...", "Pressione Y para conversar em equipe ..."
"Leaderboard", "Entre os melhores"
"LVL", "LVL"
"XP", "XP"
"Ping", "Ping"
"Our Team :", "Nosso time :"
" : Enemy Team", " : Time inimigo"
"Team Death Match Starts In", "O jogo da morte da equipe começa"
"Death Match Starts In", "O jogo da morte começa"
"Capture Point Starts In", "O ponto de captura inicia"
"Capture Flags Starts In", "Bandeiras de captura iniciam em"
"Package Drop Starts In", "A gota do pacote inicia"
"Missile Launch Starts In", "Lançamento de mísseis inicia"
"Launch missiles!", "Lança mísseis!"
"Stop missile launch!", "Pare o lançamento de mísseis!"
"AR Rifle", "AR Rifle"
"AK Rifle", "AK Rifle"
"Pistol", "Pistola"
"Hunting Rifle", "Rifle de caça"
"RPG", "RPG"
"Shotgun", "Espingarda"
"Sniper Rifle", "Sniper Rifle"
"Sub Machine Gun", "Metralhadora de mão"
"Homing Missile", "Míssil Homing"
"Package", "Pacote"
"Grenade", "Grenade"
"BGM", "BGM"
"Air Strike", "Ataque aéreo"
"Unknown", "Desconhecido"
"Team Loss!!!", "Perda de equipe !!!"
"Team Wins!!!", "Team Wins !!!"
"Tie Game!!!", "Tie Game !!!"
"Final Results", "Resultados finais"
"Kills", "Mata"
"Deaths", "Mortes"
"Damage", "Danificar"
"Longest Kill", "Kill mais longo"
"Points", "Pontos"
"Headshots", "Headshots"
"Kills -", "Mata -"
"Deaths -", "Mortes -"
"Damage -", "Dano -"
"Longest -", "Mais longo -"
"Points -", "Pontos -"
"Head Shots -", "Head Shots -"
" kills", " mata"
"Sign in to keep track of mission progress", "Faça login para acompanhar o progresso da missão"
"LEVEL", "NÍVEL"
"Earned", "Ganhou"
" coins!", " moedas!"
"Team will switch in 5 seconds", "A equipe mudará em 5 segundos"
"Mission", "Missão"
" Complete", " Completo"
" XP", " XP"
" Coins", " Moedas"
"Earned a Crate!", "Ganhou um Crate!"
"Kill", "Matar"
"Cause", "Causa"
" damage", " danificar"
"Deliver", "Entregar"
" packages", " pacotes"
" package", " pacote"
"Launch", "Lançamento"
" missiles", " mísseis"
" missile", " míssil"
"Capture", "Capturar"
" points", " pontos"
" point", " ponto"
"Play", "Toque"
" matches", " fósforos"
" match", " partida"
"Travel", "Viagem"
" meters", " metros"
"Assist", "Assist"
" players", " jogadoras"
" player", " jogador"
"Finish 1 match with", "Acabe 1 jogo com"
" kill", " matar"
" as a", " como um"
" with a", " com um"
" without dying", " sem morrer"
" within", " dentro"
" seconds", " segundos"
" dying less than", " morrendo menos do que"
" times", " vezes"
" time", " Tempo"
" with health less than", " com menos de saúde"
" in less than", " é menos que"
" at a distance greater than", " a uma distância maior do que"
" at a distance less than", " a uma distância menor do que"
"Coins", "Moedas"
"Crate", "Caixa"
"any weapon", "qualquer arma"
"tanks", "tanques"
"tank", "tanque"
"APCs", "APCs"
"APC", "APC"
"helicopters", "helicópteros"
"helicopter", "helicóptero"
"Tank Lvl-1", "Tank Lvl-1"
"Tank Lvl-2", "Tank Lvl-2"
"Tank Lvl-3", "Tank Lvl-3"
"APC Lvl-1", "APC Lvl-1"
"APC Lvl-2", "APC Lvl-2"
"APC Lvl-3", "APC Lvl-3"
"Helicopter Lvl-1", "HELICÓPTERO LVL-1"
"Helicopter Lvl-2", "Helicóptero Lvl-2"
"Helicopter Lvl-3", "Helicóptero Lvl-3"
"people", "pessoas"
"person", "pessoa"
"TANK LVL-3", "TANK LVL-3"
"QUIT GAME?", "DESISTIR DO JOGO?"
"DAILY REWARDS", "RECLAMAÇÕES DIÁRIAS"
"Missiles Launched", "Lançamentos de mísseis"
" until next reward", "  até a próxima recompensa"
"killed by", "morto por"
"fragged by", "fragmentado por"
"blown up by", "explodido por"
"destroyed by", "perdido por"
"smashed by", "esmagado por"
"with", "com"
"self destructed", "autodestruído"
"Invert Heli Y", "Inverter Helicóptero Y"
"Press C to Change View", "Pressione C para alterar a vista"
"LAUNCH MISSILES", "LANÇAR MISSILES"
"FIND GREEN CIRCLES ON MAP", "ENCONTRAR CÍRCULOS VERDES NO MAPA"
"HOLD F TO RAISE", "PASSAR F PARA AUMENTAR"
"YELLOW = BEING RAISED", "AMARELO = ESTAR AUMENTADO"
"RED = LAUNCHED", "RED = LANÇADO"
"GREEN = LAUNCHER", "VERDE = LANÇADOR"
"STOP MISSILE LAUNCH", "PARE MISSILE LANÇAMENTO"
"FIND YELLOW CIRCLES ON MAP", "ENCONTRE CÍRCULOS AMARELOS NO MAPA"
"STOP PEOPLE LAUNCHING MISSILE", "PARE AS PESSOAS LANÇANDO MISSILE"
"Invert Y Axis", "Inverter Eixo Y"
"Color Blind", "Daltônico"
"Press F to Drop Package", "Pressione o pacote F para Soltar"
"FIND THE PACKAGE [WHITE STAR ON MAP]", "ENCONTRE O PACOTE [ESTRELA BRANCA NO MAPA]"
"PICK IT UP", "PEGAR"
"DROP OFF AT GREEN CIRCLE", "DESLIGUE NO CÍRCULO VERDE"
"Deliver package to green circle on minimap", "Entregue o pacote ao círculo verde no minimap"
"Get the package, white star on minimap", "Obter o pacote, estrela branca no minimap"
"Defend the package carrier", "Defenda o transportador de pacotes"
"Stop the package carrier, flashing star on minimap", "Pare o transportador de pacotes, estrela piscando no minimap"
"Hop in, I'll give you a ride", "Entre, vou dar uma volta"
