﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿"﻿﻿﻿""﻿﻿﻿﻿﻿﻿""""﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿Version""""""",
0,
"Double byte support",
0,
"Double byte font",
"�l�r �o�S�V�b�N",
"Not enough coins, please purchase more!", "Yeterli jeton yok, lütfen daha fazlasını satın alın!"
"TANK LVL-1", "TANK LVL-1"
"TANK LVL-2", "TANK LVL-2"
"APC LVL-1", "TTZA LVL-1"
"APC LVL-2", "TTZA LVL-2"
"APC LVL-3", "TTZA LVL-3"
"HELICOPTER LVL-1", "HELİKOPTER LVL-1"
"HELICOPTER LVL-2", "HELİKOPTER LVL-2"
"HELICOPTER LVL-3", "HELİKOPTER LVL-3"
"PERSON", "KARAKTER"
"Outfit", "Kıyafet"
"Primary", "Birincil"
"Secondary", "İkincil"
"Items", "Eşyalar"
"Head", "Kafa"
"Camo", "Kamuflaj"
"Flag", "Bayrak"
"Emblem", "Simge"
"OPEN", "KUTUYU AÇ"
"PURCHASE", "SATIN AL"
"CLIENT IS OLD, PLEASE CLEAR YOUR BROWSER CACHE...", "İSTEMCİNİZ ESKİDİR, LÜTFEN TARAYICI ÇEREZLERİNİ TEMİZLEYİNİZ ..."
"ALL GAME SERVERS FULL, PLEASE REFRESH...", "TÜM OYUN SUNUCULARI DOLU, LÜTFEN YENİLEYİNİZ..."
"SELECT SERVER", "SUNUCU SEÇ"
"Connect", "Bağlan"
"Refresh", "Yenile"
"Localhost", "Yerel Bağlantı"
"CONNECTING...", "BAĞLANIYOR..."
"PLAY GAME!", "OYUNU BAŞLAT!"
"QUIT GAME", "ÇIKIŞ YAP"
"Mouse", "Mouse"
"Volume", "Ses"
"Shadows", "Gölgeler"
"Mute Audio", "Sesi Kapat"
"Antialiasing", "Görüntü İyileştirme"
"Tone Mapping", "Ton Eşleme"
"Ambient Occlusion", "Çevresel Perdeleme"
"Reflections", "Yansımalar"
"PLAYER CUSTOMIZATION", "OYUNCU ÖZELLEŞTİRME"
"MISSIONS", "GÖREVLER"
"SKIP MISSION", "GÖREVİ ATLA"
"Reward", "Ödül"
"SKIP MISSION?", "GÖREVİ ATLA?"
"Yes", "EVET"
"No", "HAYIR"
"CRATES", "SANDIKLAR"
"POPULAR", "POPÜLER"
"BEST VALUE", "EN İYİ FİYAT"
"Redeem Crate Code...", "Sandık Kodunu Kullan..."
"Log In", "Giriş Yap"
"To earn crates, complete missions, keep track of your XP, and to purchase coins in War Brokers, please sign in using Google, Facebook, VK, Twitch, or a Steam account.", "Sandık kazanmak, görevleri tamamlamak, XP'nizi takip etmek ve WarBrokers'ta jeton satın almak için lütfen Google, Facebook, VK, Twitch veya Steam hesabınızı kullanarak oturum açın."
"Use MOUSE1 to control speed", "Hızı kontrol etmek için MOUSE1 kullanın"
"N", "N"
"S", "S"
"E", "E"
"W", "W"
"M - Menu", "M - Menü"
"Press F to Enter Vehicle", "Araca girmek için F tuşuna basın"
"MISSILE LOCKED!!!", "FÜZE KİLİTLENDİ!!!"
"Press F to Pickup Package", "Paketi Almak için F tuşuna basın"
"Switching Team to Balance Server", "Switching Team to Balance Server"
"Hold F to Launch Missile", "Füzeyi fırlatmak için F tuşuna basılı tutun"
"Toggle Fullscreen", "Tam Ekrana Geç"
"Press Y for team chat...", "Takım sohbeti için Y tuşuna basın ..."
"Leaderboard", "Lider Tablosu"
"LVL", "LVL"
"XP", "XP"
"Ping", "Ping"
"Our Team :", "Bizim takım :"
" : Enemy Team", " : Düşman takım"
"Team Death Match Starts In", "Takımlı Ölüm Maçı Başlıyor"
"Death Match Starts In", "Ölüm Maçı Başlıyor"
"Capture Point Starts In", "Alan Savaşı Başlıyor"
"Capture Flags Starts In", "Bayrak Savaşı Başlıyor"
"Package Drop Starts In", "Paket Taşıma Başlıyor"
"Missile Launch Starts In", "Füze Fırlatma Başlıyor"
"Launch missiles!", "Füzeyi fırlat!"
"Stop missile launch!", "Füzenin fırlatılmasını durdur!"
"AR Rifle", "AR Tüfeği"
"AK Rifle", "AK Tüfeği"
"Pistol", "Tabanca"
"Hunting Rifle", "Av Tüfeği"
"RPG", "RPG"
"Shotgun", "Pompalı Tüfek"
"Sniper Rifle", "Keskin Nişancı Tüfeği"
"Sub Machine Gun", "Hafif Makineli Tüfek"
"Homing Missile", "Güdümlü Füze"
"Package", "Paket"
"Grenade", "Bomba"
"BGM", "BGM"
"Air Strike", "Hava Saldırısı"
"Unknown", "Bilinmeyen"
"Team Loss!!!", "Kaybettiniz!!!"
"Team Wins!!!", "Kazandınız!!!"
"Tie Game!!!", "Berabere!!!"
"Final Results", "Oyun Sonuçları"
"Kills", "Öldürülen"
"Deaths", "Ölüm"
"Damage", "Hasar"
"Longest Kill", "En Uzun Öldürme"
"Points", "Puanlar"
"Headshots", "Headshot"
"Kills -", "Öldürülen -"
"Deaths -", "Ölüm -"
"Damage -", "Hasar -"
"Longest -", "Longest -"
"Points -", "Puanlar -"
"Head Shots -", "Head Shot -"
" kills", " öldürülen"
"Sign in to keep track of mission progress", "Görevleri takip etmek için oturum açın"
"LEVEL", "LEVEL"
"Earned", "Jeton"
" coins!", "Kazandınız!!!"
"Team will switch in 5 seconds", "Takım 5 saniye içerisinde değişecek"
"Mission", "Görev"
" Complete", " Tamamlandı"
" XP", " XP"
" Coins", "Jetonlar"
"Earned a Crate!", "Sandık Kazandınız!"
"Kill", "Öldürülen"
"Cause", "Verilen"
" damage", "Zarar"
"Deliver", "Paketleri"
" packages", "taşı"
" package", "taşı"
"Launch", "Füzeleri"
" missiles", "ateşle"
" missile", "Ateşle"
"Capture", "Alanları"
" points", "ele geçir"
" point", "ele geçir"
"Play", "Maç"
" matches", "oyna"
" match", "oyna"
"Travel", "Gidilen"
" meters", "mesafe"
"Assist", "Asist"
" players", "oyuncular"
" player", "oyuncu"
"Finish 1 match with", "1 karşılaşmayı şu şekilde bitir:"
" kill", "öldür"
" as a", "şu olarak:"
" with a", "şunun ile:"
" without dying", "ölmeden"
" within", " içinde"
" seconds", " saniye"
" dying less than", "şundan daha az ölerek:"
" times", "sürede"
" time", "süre"
" with health less than", " daha az sağlıkla"
" in less than", " daha az"
" at a distance greater than", "daha büyük bir mesafede"
" at a distance less than", "daha az bir mesafede"
"Coins", "Jetonlar"
"Crate", "Sandık"
"any weapon", "herhangi bir silah"
"tanks", "tanklar"
"tank", "tank"
"APCs", "TTZA"
"APC", "TTZA"
"helicopters", "helikopterler"
"helicopter", "helikopter"
"Tank Lvl-1", "Tank Lvl-1"
"Tank Lvl-2", "Tank Lvl-2"
"Tank Lvl-3", "Tank Lvl-3"
"APC Lvl-1", "TTZA Lvl-1"
"APC Lvl-2", "TTZA Lvl-2"
"APC Lvl-3", "TTZA Lvl-3"
"Helicopter Lvl-1", "Helikopter Lvl-1"
"Helicopter Lvl-2", "Helikopter Lvl-2"
"Helicopter Lvl-3", "Helikopter Lvl-3"
"people", "insan"
"person", "kişi"
"TANK LVL-3", "TANK LVL-3"
"QUIT GAME?", "ÇIKIŞ YAP?"
"DAILY REWARDS", "GÜNLÜK ÖDÜLLER"
"Missiles Launched", "Füze Ateşlendi"
" until next reward", " sonraki ödüle kadar"
"killed by", "öldüren"
"fragged by", "katleden"
"blown up by", "havaya uçuran"
"destroyed by", "imha eden"
"smashed by", "ezen"
"with", "ile"
"self destructed", "eceliyle öldü"
"Invert Heli Y", "Helikopteri Y Ekseninin Tersine Çevir"
"Press C to Change View", "Görünümü değiştirmek için C tuşuna basın."
"LAUNCH MISSILES", "FÜZELERİ FIRLAT"
"FIND GREEN CIRCLES ON MAP", "HARİTADAKİ YEŞİL DAİRELERİ BUL"
"HOLD F TO RAISE", "YÜKSELTMEK İÇİN F TUŞUNA BAS"
"YELLOW = BEING RAISED", "SARI = YÜKSELTİLMİŞ"
"RED = LAUNCHED", "KIRMIZI = ATEŞLENMİŞ"
"GREEN = LAUNCHER", "YEŞİL = FIRLATILACAK"
"STOP MISSILE LAUNCH", "FÜZENİN FIRLATILMASINI DURDUR"
"FIND YELLOW CIRCLES ON MAP", "HARİTADAKİ SARI DAİRELERİ BUL"
"STOP PEOPLE LAUNCHING MISSILE", "FÜZELEYİ ATEŞLEYENLERİ DURDUR"
"Invert Y Axis", "Y eksenini tersine çevir"
"Color Blind", "Renk körü"
"Press F to Drop Package", "Paketi Bırakmak için F tuşuna basın"
