"﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿""﻿""""﻿﻿""""""""﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿""""""""""""""""﻿""""""""""""""""""""""""""""""""﻿""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""﻿""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Version""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",
0,
"Double byte support",
0,
"Double byte font",
"�l�r �o�S�V�b�N",
"Not enough coins, please purchase more!","硬币不够，请多买些！"
"TANK LVL-1","第一级坦克"
"TANK LVL-2","第二级坦克"
"APC LVL-1","第一级APC"
"APC LVL-2","第二级APC"
"APC LVL-3","第三级APC"
"HELICOPTER LVL-1","第一级直升机"
"HELICOPTER LVL-2","第二级直升机"
"HELICOPTER LVL-3","第三级直升机"
"PERSON","人"
"Outfit","外套"
"Primary","最主要"
"Secondary","第二"
"Items","项目"
"Head","头"
"Camo","迷彩"
"Flag","国旗"
"Emblem","象征"
"OPEN","打开"
"PURCHASE","购买"
"CLIENT IS OLD, PLEASE CLEAR YOUR BROWSER CACHE...","客户端旧了，请清除浏览器缓存…"
"ALL GAME SERVERS FULL, PLEASE REFRESH...","所有游戏服务器已满，请刷新…"
"SELECT SERVER","选择服务器"
"Connect","连接"
"Refresh","刷新"
"Localhost","本机"
"CONNECTING...","在连接..."
"PLAY GAME!","玩游戏！"
"QUIT GAME","退出游戏"
"Mouse","鼠标"
"Volume","体积"
"Shadows","阴影"
"Mute Audio","静音"
"Antialiasing","图像调整工具"
"Tone Mapping","色调映射"
"Ambient Occlusion","环境光遮蔽"
"Reflections","反思"
"PLAYER CUSTOMIZATION","玩家选择定制"
"MISSIONS","任务"
"SKIP MISSION","跳过任务"
"Reward","奖励"
"SKIP MISSION?","跳过的任务？"
"Yes","是"
"No","不"
"CRATES","包装箱"
"POPULAR","流行"
"BEST VALUE","最好的价值"
"Redeem Crate Code...","赎回机箱代码…"
"Log In","登录"
"To earn crates, complete missions, keep track of your XP, and to purchase coins in War Brokers, please sign in using Google, Facebook, VK, Twitch, or a Steam account.","如要赚包装箱，完成任务，跟踪你的XP，如要购买战争经纪人硬币，请使用谷歌、脸谱网、VK、Twitch, 或Steam帐户。"
"Use MOUSE1 to control speed","用鼠标来控制速度"
"N","北"
"S","南"
"E","东"
"W","西"
"M - Menu","M菜单"
"Press F to Enter Vehicle","按F回车"
"MISSILE LOCKED!!!","导弹锁定！！！"
"Press F to Pickup Package","按F拾取包裹"
"Switching Team to Balance Server","转换团队平衡服务器"
"Hold F to Launch Missile","按F来发射导弹"
"Toggle Fullscreen","切换到全屏"
"Press Y for team chat...","按Y来参加团队聊天…"
"Leaderboard","排行榜"
"LVL","级别"
"XP","XP"
"Ping","砰"
"Our Team :","我们的团队 : "
" : Enemy Team","：敌人的团队"
"Team Death Match Starts In","团队死亡比赛要开始"
"Death Match Starts In","死亡比赛要在开始"
"Capture Point Starts In","捕获区要开始"
"Capture Flags Starts In","捕获国旗要开始"
"Package Drop Starts In","包裹释放要开始"
"Missile Launch Starts In","导弹发射要开始"
"Launch missiles!","发射导弹！"
"Stop missile launch!","停止发射导弹！"
"AR Rifle","AR步枪"
"AK Rifle","近距离霰弹枪"
"Pistol","手枪"
"Hunting Rifle","猎枪"
"RPG","角色扮演游戏"
"Shotgun","猎枪"
"Sniper Rifle","狙击枪"
"Sub Machine Gun","冲锋枪"
"Homing Missile","自导行导弹"
"Package","包裹"
"Grenade","手榴弹"
"BGM","BGM"
"Air Strike","空袭"
"Unknown","未知"
"Team Loss!!!","队员损失！！！"
"Team Wins!!!","团队获胜！！！"
"Tie Game!!!","平局！！！"
"Final Results","最后结果"
"Kills","死亡人数"
"Deaths","死亡数"
"Damage","损伤"
"Longest Kill","远距离杀"
"Points","点"
"Headshots","头部中枪"
"Kills -","杀死—"
"Deaths -","死亡—"
"Damage -","损伤—"
"Longest -","远距离—"
"Points -","分数—"
"Head Shots -","头部中枪—"
" kills","杀死"
"Sign in to keep track of mission progress","登录以跟踪任务进展"
"LEVEL","水平"
"Earned","赚得"
" coins!","硬币!"
"Team will switch in 5 seconds","团队将在5秒内转换"
"Mission","使命"
" Complete","完成"
" XP","XP"
" Coins","硬币"
"Earned a Crate!","赚了一箱！"
"Kill","杀"
"Cause","原因"
" damage","损害"
"Deliver","提供"
" packages","包装"
" package","包裹"
"Launch","发射"
" missiles","导弹"
" missile","导弹"
"Capture","捕获"
" points","区"
" point","区"
"Play","玩"
" matches","比赛"
" match","比赛"
"Travel","旅行"
" meters","米"
"Assist","协助"
" players","游戏人"
" player","游戏人"
"Finish 1 match with","完成1场比赛"
" kill","杀死"
" as a","作为一个"
" with a","用一个"
" without dying","无死亡"
" within","在"
" seconds","秒"
" dying less than","死亡在"
" times","倍"
" time","时间"
" with health less than","健康不到"
" in less than","在不到"
" at a distance greater than","距离大于"
" at a distance less than","距离不到"
"Coins","硬币"
"Crate","包装箱"
"any weapon","任何武器"
"tanks","坦克"
"tank","坦克"
"APCs","装甲运兵车"
"APC","装甲运兵车"
"helicopters","直升机"
"helicopter","直升机"
"Tank Lvl-1","第一级坦克"
"Tank Lvl-2","第二级坦克"
"Tank Lvl-3","第三级坦克"
"APC Lvl-1","第一级装甲运兵车"
"APC Lvl-2","第二级装甲运兵车"
"APC Lvl-3","第三级装甲运兵车"
"Helicopter Lvl-1","第一级直升机"
"Helicopter Lvl-2","第二级直升机"
"Helicopter Lvl-3","第三级直升机"
"people","人"
"person","人"
"TANK LVL-3","第三级坦克"
"QUIT GAME?","退出游戏吗？ "
"DAILY REWARDS","每日赏金"
"Missiles Launched","导弹已发射"
" until next reward"," 等待下次赏金"
"killed by","被杀死"
"fragged by","被杀伤弹炸死"
"blown up by","被爆炸炸死"
"destroyed by","被毁灭"
"smashed by","被摧毁"
"with","用"
"self destructed","自毁"
"Invert Heli Y","反转直升机Y"
"Press C to Change View","按C更改视图"
"LAUNCH MISSILES","发射导弹"
"FIND GREEN CIRCLES ON MAP","在地图上找到绿色圆圈"
"HOLD F TO RAISE","保持升高"
"YELLOW = BEING RAISED","黄色=正在提升"
"RED = LAUNCHED","红色=已发射"
"GREEN = LAUNCHER","绿色=发射器"
"STOP MISSILE LAUNCH","停止导弹发射"
"FIND YELLOW CIRCLES ON MAP","在地图上找到黄色圆圈"
"STOP PEOPLE LAUNCHING MISSILE","阻止别人发射导弹"
"Invert Y Axis","反转Y轴"
"Color Blind","色盲"
"Press F to Drop Package","按F下降包装"
"FIND THE PACKAGE [WHITE STAR ON MAP]","找到包[白星在地图上]"
"PICK IT UP","捡起来"
"DROP OFF AT GREEN CIRCLE","在绿色圈落下"
"Deliver package to green circle on minimap","将包裹发送到小地图上的绿色圆圈"
"Get the package, white star on minimap","获取包裹，小地图上的白色星星"
"Defend the package carrier","保护包装盒"
"Stop the package carrier, flashing star on minimap","停止包裹载体，在小地图上闪烁的星星"
"Hop in, I'll give you a ride","进来，我会给你搭车"
"I need a ride","我需要搭顺风车"
"Launch Missile #1","发射导弹＃1"
"Launch Missile #2","发射导弹＃2"
"Launch Missile #3","发射导弹＃3"
"Defend Missile #1","保卫导弹＃1"
"Defend Missile #2","保卫导弹＃2"
"Defend Missile #3","保卫导弹＃3"
"Defend the package carrier (flashing green/white star on the map)","保卫包裹运营商（地图上闪烁的绿色/白色星星）"
"Package carrier deliver the package to the drop off point (green circle on map)","包裹运送者将包裹送到送货点（地图上的绿色圆圈）"
"Drop the package I'll carry it","放下包裹，我会带着它"
"Pickup the package (white star on the mini-map)","拿起包裹（迷你地图上的白色星星）"
"Kill the enemy carrying the package (flashing red/yellow star on the mini-map)","杀死携带包裹的敌人（在迷你地图上闪烁的红色/黄色星星）"
"Enemy on top of mountain","敌人在山顶上"
"Group up to help each other","分组互相帮助"
"Enemy on top of buildings","敌人在建筑物顶部"
"Enemy close","敌人关闭"
"Taking enemy fire","取获敌人火力"
"Kill the enemy helicopter","杀死敌方直升机"
"Kill the enemy vehicle","杀死敌方车辆"
"Death Match","死亡比赛"
"Capture Flags","捕获旗帜"
"Package Drop","放下包裹"
"Missile Launch","导弹发射"
"Team","团队"
"CLICK HERE TO SELECT MISSILE LAUNCH","点击这里选择导弹发射"
"CLICK HERE TO SELECT PACKAGE DROP","点击这里选择包装下降"
